,有價證券代號,有價證券名稱,有價證券別,產業別,發行日
0,0050,元大台灣50,ETF,,2003/06/30
1,0051,元大中型100,ETF,,2006/08/31
2,0052,富邦科技,ETF,,2006/09/12
3,0053,元大電子,ETF,,2007/07/16
4,0054,元大台商50,ETF,,2007/07/16
5,0055,元大MSCI金融,ETF,,2007/07/16
6,0056,元大高股息,ETF,,2007/12/26
7,0057,富邦摩台,ETF,,2008/02/27
8,0061,元大寶滬深,ETF,,2009/08/17
9,006203,元大MSCI台灣,ETF,,2011/05/12
10,006204,永豐臺灣加權,ETF,,2011/09/28
11,006205,富邦上証,ETF,,2011/09/26
12,006206,元大上證50,ETF,,2012/05/11
13,006207,FH滬深,ETF,,2012/06/22
14,006208,富邦台50,ETF,,2012/07/17
15,00636,國泰中國A50,ETF,,2015/04/01
16,00639,富邦深100,ETF,,2015/06/09
17,00643,群益深証中小,ETF,,2015/12/02
18,00645,富邦日本,ETF,,2015/11/06
19,00646,元大S&P500,ETF,,2015/12/14
20,00652,富邦印度,ETF,,2016/03/29
21,00657,國泰日經225,ETF,,2016/05/09
22,00660,元大歐洲50,ETF,,2016/07/15
23,00661,元大日經225,ETF,,2016/07/15
24,00662,富邦NASDAQ,ETF,,2016/06/24
25,00668,國泰美國道瓊,ETF,,2016/10/17
26,00678,群益NBI生技,ETF,,2017/01/09
27,00690,兆豐藍籌30,ETF,,2017/03/31
28,00692,富邦公司治理,ETF,,2017/05/17
29,00700,富邦恆生國企,ETF,,2017/07/21
30,00701,國泰股利精選30,ETF,,2017/08/17
31,00702,國泰標普低波高息,ETF,,2017/08/17
32,00703,台新MSCI中國,ETF,,2017/08/10
33,00709,富邦歐洲,ETF,,2017/08/15
34,00712,FH富時不動產,ETF,,2017/08/21
35,00713,元大台灣高息低波,ETF,,2017/09/27
36,00714,群益道瓊美國地產,ETF,,2017/10/27
37,00717,富邦美國特別股,ETF,,2017/11/29
38,00728,第一金工業30,ETF,,2018/04/18
39,00730,富邦臺灣優質高息,ETF,,2018/02/08
40,00731,FH富時高息低波,ETF,,2018/04/20
41,00732,國泰RMB短期報酬,ETF,,2018/05/14
42,00733,富邦臺灣中小,ETF,,2018/05/17
43,00735,國泰臺韓科技,ETF,,2018/06/11
44,00736,國泰新興市場,ETF,,2018/06/11
45,00737,國泰AI+ROBO,ETF,,2018/06/11
46,00739,元大MSCI A股,ETF,,2018/06/27
47,00742,新光內需收益,ETF,,2018/06/22
48,00743,國泰中國A150,ETF,,2018/08/03
